rank,country,name,flag,gold,silver,bronze,total
18,Hungary,匈牙利,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/HUN.png,1,1,1,1
20,Canada,加拿大,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/CAN.png,1,2,2,2
20,Greece,希腊,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/GRE.png,1,1,1,2
22,Germany,德国,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/GER.png,3,1,1,1
22,Mexico,墨西哥,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/MEX.png,3,1,2,1
22,Uzbekistan,乌兹别克斯坦,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/UZB.png,2,1,1,1
rank,country,flag,gold,silver,bronze,total
1,Australia,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/AUS.png,6,1,3,10
2,People's Republic of China,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/CHN.png,5,1,2,8
3,RPC,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/RPC.png,3,1,2,6
4,Italy,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/ITA.png,2,1,2,5
5,Ukraine,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/UKR.png,1,5,2,8
6,Great Britain,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/GBR.png,1,4,1,6
7,Brazil,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/BRA.png,1,1,2,4
8,Netherlands,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/NED.png,1,1,1,2
9,Belarus,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/BLR.png,1,2,1,1
9,Chile,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/CHI.png,1,2,1,1
9,Israel,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/ISR.png,1,1,2,1
9,Singapore,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/SGP.png,1,1,2,1
13,Spain,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/ESP.png,3,1,1,2
13,United States of America,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/USA.png,2,1,1,2
15,France,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/FRA.png,1,1,1,2
15,Japan,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/JPN.png,1,1,2,2
15,Poland,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/POL.png,1,4,1,2
18,Georgia,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/GEO.png,1,2,1,1
18,Hungary,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/HUN.png,1,1,1,1
20,Canada,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/CAN.png,1,2,2,2
20,Greece,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/GRE.png,1,1,1,2
22,Germany,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/GER.png,3,1,1,1
22,Mexico,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/MEX.png,3,1,2,1
22,Uzbekistan,https://olympics.com/tokyo-2020/paralympic-games/resCOMMON/img/flags/PG2020-/UZB.png,2,1,1,1
